2024-06-17 19:48:47 status half-installed diffutils:amd64 1:3.7-3
2024-06-17 19:48:47 status unpacked diffutils:amd64 1:3.7-3
2024-06-17 19:48:47 upgrade dpkg:amd64 1.19.8 1.19.8
2024-06-17 19:48:47 status half-configured dpkg:amd64 1.19.8
2024-06-17 19:48:47 status unpacked dpkg:amd64 1.19.8
2024-06-17 19:48:47 status half-installed dpkg:amd64 1.19.8
2024-06-17 19:48:48 status unpacked dpkg:amd64 1.19.8
2024-06-17 19:48:48 install e2fsprogs:amd64 <none> 1.44.5-1+deb10u3
2024-06-17 19:48:48 status half-installed e2fsprogs:amd64 1.44.5-1+deb10u3
2024-06-17 19:48:48 status unpacked e2fsprogs:amd64 1.44.5-1+deb10u3
2024-06-17 19:48:48 install fdisk:amd64 <none> 2.33.1-0.1
2024-06-17 19:48:48 status half-installed fdisk:amd64 2.33.1-0.1
2024-06-17 19:48:48 status unpacked fdisk:amd64 2.33.1-0.1
2024-06-17 19:48:48 install findutils:amd64 <none> 4.6.0+git+20190209-2
2024-06-17 19:48:48 status half-installed findutils:amd64 4.6.0+git+20190209-2
2024-06-17 19:48:48 status unpacked findutils:amd64 4.6.0+git+20190209-2
2024-06-17 19:48:48 install gcc-8-base:amd64 <none> 8.3.0-6
2024-06-17 19:48:48 status half-installed gcc-8-base:amd64 8.3.0-6
2024-06-17 19:48:48 status unpacked gcc-8-base:amd64 8.3.0-6
2024-06-17 19:48:48 install gpgv:amd64 <none> 2.2.12-1+deb10u2
2024-06-17 19:48:48 status half-installed gpgv:amd64 2.2.12-1+deb10u2
2024-06-17 19:48:48 status unpacked gpgv:amd64 2.2.12-1+deb10u2
2024-06-17 19:48:48 install grep:amd64 <none> 3.3-1
2024-06-17 19:48:48 status half-installed grep:amd64 3.3-1
2024-06-17 19:48:48 status unpacked grep:amd64 3.3-1
2024-06-17 19:48:48 install gzip:amd64 <none> 1.9-3+deb10u1
2024-06-17 19:48:48 status half-installed gzip:amd64 1.9-3+deb10u1
2024-06-17 19:48:48 status unpacked gzip:amd64 1.9-3+deb10u1
2024-06-17 19:48:48 install hostname:amd64 <none> 3.21
2024-06-17 19:48:48 status half-installed hostname:amd64 3.21
2024-06-17 19:48:48 status unpacked hostname:amd64 3.21
2024-06-17 19:48:48 install init-system-helpers:all <none> 1.56+nmu1
2024-06-17 19:48:48 status half-installed init-system-helpers:all 1.56+nmu1
2024-06-17 19:48:48 status unpacked init-system-helpers:all 1.56+nmu1
2024-06-17 19:48:48 install libacl1:amd64 <none> 2.2.53-4
2024-06-17 19:48:48 status half-installed libacl1:amd64 2.2.53-4
2024-06-17 19:48:48 status unpacked libacl1:amd64 2.2.53-4
2024-06-17 19:48:48 install libapt-pkg5.0:amd64 <none> 1.8.2.3
2024-06-17 19:48:48 status half-installed libapt-pkg5.0:amd64 1.8.2.3
2024-06-17 19:48:49 status unpacked libapt-pkg5.0:amd64 1.8.2.3
2024-06-17 19:48:49 install libattr1:amd64 <none> 1:2.4.48-4
2024-06-17 19:48:49 status half-installed libattr1:amd64 1:2.4.48-4
2024-06-17 19:48:49 status unpacked libattr1:amd64 1:2.4.48-4
2024-06-17 19:48:49 install libaudit-common:all <none> 1:2.8.4-3
2024-06-17 19:48:49 status half-installed libaudit-common:all 1:2.8.4-3
